border,date,measure,value,average
US-Mexico Border,07/01/2002 12:00:00 AM,Personal Vehicles,7715526,7782394
US-Mexico Border,07/01/2002 12:00:00 AM,Pedestrians,4251413,4197734
US-Canada Border,07/01/2002 12:00:00 AM,Personal Vehicles,3443703,4072324
US-Canada Border,07/01/2002 12:00:00 AM,Trucks,552454,520428
US-Canada Border,07/01/2002 12:00:00 AM,Bus Passengers,515712,531630
US-Canada Border,07/01/2002 12:00:00 AM,Truck Containers Full,466048,414348
US-Mexico Border,07/01/2002 12:00:00 AM,Bus Passengers,400958,320328
US-Mexico Border,07/01/2002 12:00:00 AM,Trucks,375233,348032
US-Canada Border,07/01/2002 12:00:00 AM,Pedestrians,215313,104954
US-Mexico Border,07/01/2002 12:00:00 AM,Truck Containers Full,205279,191187
US-Mexico Border,07/01/2002 12:00:00 AM,Truck Containers Empty,166593,158376
US-Canada Border,07/01/2002 12:00:00 AM,Rail Containers Full,104621,90514
US-Canada Border,07/01/2002 12:00:00 AM,Truck Containers Empty,79965,74984
US-Canada Border,07/01/2002 12:00:00 AM,Rail Containers Empty,38281,34087
US-Canada Border,07/01/2002 12:00:00 AM,Train Passengers,37082,35475
US-Mexico Border,07/01/2002 12:00:00 AM,Buses,26937,24454
US-Mexico Border,07/01/2002 12:00:00 AM,Rail Containers Empty,26717,22064
US-Mexico Border,07/01/2002 12:00:00 AM,Rail Containers Full,23167,22388
US-Canada Border,07/01/2002 12:00:00 AM,Buses,19998,21094
US-Canada Border,07/01/2002 12:00:00 AM,Trains,2787,2716
US-Mexico Border,07/01/2002 12:00:00 AM,Train Passengers,1204,1370
US-Mexico Border,07/01/2002 12:00:00 AM,Trains,644,607
US-Mexico Border,07/01/2001 12:00:00 AM,Personal Vehicle Passengers,18361146,19586095
US-Canada Border,07/01/2001 12:00:00 AM,Personal Vehicle Passengers,9449454,10278314
US-Mexico Border,07/01/2001 12:00:00 AM,Personal Vehicles,8106637,7458150
US-Mexico Border,07/01/2001 12:00:00 AM,Pedestrians,4563957,3831510
US-Canada Border,07/01/2001 12:00:00 AM,Personal Vehicles,4026527,4118120
US-Canada Border,07/01/2001 12:00:00 AM,Bus Passengers,532543,530717
US-Canada Border,07/01/2001 12:00:00 AM,Trucks,528769,512088
US-Canada Border,07/01/2001 12:00:00 AM,Truck Containers Full,457842,370854
US-Mexico Border,07/01/2001 12:00:00 AM,Trucks,342869,353194
US-Mexico Border,07/01/2001 12:00:00 AM,Bus Passengers,338325,302332
US-Mexico Border,07/01/2001 12:00:00 AM,Truck Containers Full,189826,192548
US-Mexico Border,07/01/2001 12:00:00 AM,Truck Containers Empty,160790,155962
US-Canada Border,07/01/2001 12:00:00 AM,Pedestrians,130757,79150
US-Canada Border,07/01/2001 12:00:00 AM,Rail Containers Full,96683,84345
US-Canada Border,07/01/2001 12:00:00 AM,Truck Containers Empty,79216,70752
US-Canada Border,07/01/2001 12:00:00 AM,Rail Containers Empty,37946,30228
US-Canada Border,07/01/2001 12:00:00 AM,Train Passengers,35420,35530
US-Mexico Border,07/01/2001 12:00:00 AM,Buses,25574,23334
US-Mexico Border,07/01/2001 12:00:00 AM,Rail Containers Full,22695,22080
US-Mexico Border,07/01/2001 12:00:00 AM,Rail Containers Empty,21475,22652
US-Canada Border,07/01/2001 12:00:00 AM,Buses,21189,21000
US-Canada Border,07/01/2001 12:00:00 AM,Trains,2733,2698
US-Mexico Border,07/01/2001 12:00:00 AM,Train Passengers,1477,1264
US-Mexico Border,07/01/2001 12:00:00 AM,Trains,636,578
US-Mexico Border,07/01/2000 12:00:00 AM,Personal Vehicle Passengers,20510593,18661597
US-Canada Border,07/01/2000 12:00:00 AM,Personal Vehicle Passengers,10686762,9869867
US-Mexico Border,07/01/2000 12:00:00 AM,Personal Vehicles,7783451,7132850
US-Canada Border,07/01/2000 12:00:00 AM,Personal Vehicles,4159358,4076882
US-Mexico Border,07/01/2000 12:00:00 AM,Pedestrians,4088003,3575018
US-Canada Border,07/01/2000 12:00:00 AM,Bus Passengers,575806,485628
US-Canada Border,07/01/2000 12:00:00 AM,Trucks,528835,495342
US-Canada Border,07/01/2000 12:00:00 AM,Truck Containers Full,421547,320162
US-Mexico Border,07/01/2000 12:00:00 AM,Trucks,357425,348962
US-Mexico Border,07/01/2000 12:00:00 AM,Bus Passengers,307415,297248
US-Mexico Border,07/01/2000 12:00:00 AM,Truck Containers Full,191885,193212
US-Mexico Border,07/01/2000 12:00:00 AM,Truck Containers Empty,157157,154768
US-Canada Border,07/01/2000 12:00:00 AM,Rail Containers Full,95670,73020
US-Canada Border,07/01/2000 12:00:00 AM,Truck Containers Empty,80843,60660
US-Canada Border,07/01/2000 12:00:00 AM,Pedestrians,79892,78409
US-Canada Border,07/01/2000 12:00:00 AM,Train Passengers,36693,34366
US-Canada Border,07/01/2000 12:00:00 AM,Rail Containers Empty,33570,26886
US-Mexico Border,07/01/2000 12:00:00 AM,Rail Containers Full,25826,18334
US-Mexico Border,07/01/2000 12:00:00 AM,Rail Containers Empty,24979,20324
US-Mexico Border,07/01/2000 12:00:00 AM,Buses,23883,22786
US-Canada Border,07/01/2000 12:00:00 AM,Buses,21755,20246
US-Canada Border,07/01/2000 12:00:00 AM,Trains,2768,2629
US-Mexico Border,07/01/2000 12:00:00 AM,Train Passengers,1539,988
US-Mexico Border,07/01/2000 12:00:00 AM,Trains,602,555
US-Mexico Border,07/01/1999 12:00:00 AM,Personal Vehicle Passengers,20014202,17308992
US-Canada Border,07/01/1999 12:00:00 AM,Personal Vehicle Passengers,10048010,9691724
US-Mexico Border,07/01/1999 12:00:00 AM,Personal Vehicles,7615057,6650642
US-Canada Border,07/01/1999 12:00:00 AM,Personal Vehicles,4213561,3940204
US-Mexico Border,07/01/1999 12:00:00 AM,Pedestrians,3856641,3293394
US-Canada Border,07/01/1999 12:00:00 AM,Bus Passengers,544407,426848
US-Canada Border,07/01/1999 12:00:00 AM,Trucks,517183,473502
US-Canada Border,07/01/1999 12:00:00 AM,Truck Containers Full,392045,248280
US-Mexico Border,07/01/1999 12:00:00 AM,Trucks,360473,337452
US-Mexico Border,07/01/1999 12:00:00 AM,Bus Passengers,317179,277316
US-Mexico Border,07/01/1999 12:00:00 AM,Truck Containers Full,202335,184088
US-Mexico Border,07/01/1999 12:00:00 AM,Truck Containers Empty,173161,136376
US-Canada Border,07/01/1999 12:00:00 AM,Rail Containers Full,80503,65538
US-Canada Border,07/01/1999 12:00:00 AM,Pedestrians,80203,76615
US-Canada Border,07/01/1999 12:00:00 AM,Truck Containers Empty,66373,54946
US-Canada Border,07/01/1999 12:00:00 AM,Train Passengers,31441,37291
US-Canada Border,07/01/1999 12:00:00 AM,Rail Containers Empty,27410,26363
US-Mexico Border,07/01/1999 12:00:00 AM,Buses,26025,19548
US-Mexico Border,07/01/1999 12:00:00 AM,Rail Containers Empty,22399,18249
US-Canada Border,07/01/1999 12:00:00 AM,Buses,22135,18356
US-Mexico Border,07/01/1999 12:00:00 AM,Rail Containers Full,19151,17516
US-Canada Border,07/01/1999 12:00:00 AM,Trains,2706,2552
US-Mexico Border,07/01/1999 12:00:00 AM,Train Passengers,1206,770
US-Mexico Border,07/01/1999 12:00:00 AM,Trains,494,616
US-Mexico Border,07/01/1998 12:00:00 AM,Personal Vehicle Passengers,18363970,16254015
US-Canada Border,07/01/1998 12:00:00 AM,Personal Vehicle Passengers,10112279,9271168
US-Mexico Border,07/01/1998 12:00:00 AM,Personal Vehicles,6815671,6485612
US-Canada Border,07/01/1998 12:00:00 AM,Personal Vehicles,4012998,3867409
US-Mexico Border,07/01/1998 12:00:00 AM,Pedestrians,3276123,3310664
US-Canada Border,07/01/1998 12:00:00 AM,Trucks,483125,463879
US-Canada Border,07/01/1998 12:00:00 AM,Bus Passengers,456603,397092
US-Mexico Border,07/01/1998 12:00:00 AM,Bus Passengers,338899,215732
US-Mexico Border,07/01/1998 12:00:00 AM,Trucks,321469,353436
US-Canada Border,07/01/1998 12:00:00 AM,Truck Containers Full,319806,176754
US-Mexico Border,07/01/1998 12:00:00 AM,Truck Containers Full,161387,206789
US-Mexico Border,07/01/1998 12:00:00 AM,Truck Containers Empty,137909,134842
US-Canada Border,07/01/1998 12:00:00 AM,Pedestrians,83067,70163
US-Canada Border,07/01/1998 12:00:00 AM,Rail Containers Full,74907,56168
US-Canada Border,07/01/1998 12:00:00 AM,Truck Containers Empty,60078,49813
US-Canada Border,07/01/1998 12:00:00 AM,Train Passengers,30824,43758
US-Canada Border,07/01/1998 12:00:00 AM,Rail Containers Empty,26674,26052
US-Mexico Border,07/01/1998 12:00:00 AM,Buses,22639,16456
US-Canada Border,07/01/1998 12:00:00 AM,Buses,20089,16622
US-Mexico Border,07/01/1998 12:00:00 AM,Rail Containers Empty,16021,20477
US-Mexico Border,07/01/1998 12:00:00 AM,Rail Containers Full,13542,21490
US-Canada Border,07/01/1998 12:00:00 AM,Trains,2544,2560
US-Mexico Border,07/01/1998 12:00:00 AM,Train Passengers,661,878
US-Mexico Border,07/01/1998 12:00:00 AM,Trains,470,762
US-Mexico Border,07/01/1997 12:00:00 AM,Personal Vehicle Passengers,19318704,13189326
US-Canada Border,07/01/1997 12:00:00 AM,Personal Vehicle Passengers,10384078,8158258
US-Mexico Border,07/01/1997 12:00:00 AM,Personal Vehicles,7218947,5752277
US-Canada Border,07/01/1997 12:00:00 AM,Personal Vehicles,4219377,3515441
US-Mexico Border,07/01/1997 12:00:00 AM,Pedestrians,3408951,3212376
US-Canada Border,07/01/1997 12:00:00 AM,Trucks,460960,466798
US-Canada Border,07/01/1997 12:00:00 AM,Bus Passengers,453718,340466
US-Mexico Border,07/01/1997 12:00:00 AM,Trucks,309583,397290
US-Mexico Border,07/01/1997 12:00:00 AM,Bus Passengers,279688,151777
US-Mexico Border,07/01/1997 12:00:00 AM,Truck Containers Full,150280,263298
US-Mexico Border,07/01/1997 12:00:00 AM,Truck Containers Empty,136006,133678
US-Canada Border,07/01/1997 12:00:00 AM,Truck Containers Full,115963,237546
US-Canada Border,07/01/1997 12:00:00 AM,Train Passengers,51278,36237
US-Canada Border,07/01/1997 12:00:00 AM,Pedestrians,49183,91143
US-Canada Border,07/01/1997 12:00:00 AM,Rail Containers Full,27229,85106
US-Canada Border,07/01/1997 12:00:00 AM,Truck Containers Empty,24298,75328
US-Mexico Border,07/01/1997 12:00:00 AM,Buses,20557,12355
US-Canada Border,07/01/1997 12:00:00 AM,Buses,18587,14658
US-Mexico Border,07/01/1997 12:00:00 AM,Rail Containers Full,17527,25454
US-Canada Border,07/01/1997 12:00:00 AM,Rail Containers Empty,15678,36426
US-Mexico Border,07/01/1997 12:00:00 AM,Rail Containers Empty,13813,27141
US-Canada Border,07/01/1997 12:00:00 AM,Trains,2766,2354
US-Mexico Border,07/01/1997 12:00:00 AM,Train Passengers,967,790
US-Mexico Border,07/01/1997 12:00:00 AM,Trains,776,747
US-Mexico Border,07/01/1996 12:00:00 AM,Personal Vehicle Passengers,14769192,11609461
US-Canada Border,07/01/1996 12:00:00 AM,Personal Vehicle Passengers,11211921,5104595
US-Mexico Border,07/01/1996 12:00:00 AM,Personal Vehicles,5312598,6191956
US-Canada Border,07/01/1996 12:00:00 AM,Personal Vehicles,4328945,2701937
US-Mexico Border,07/01/1996 12:00:00 AM,Pedestrians,2758143,3666608
US-Canada Border,07/01/1996 12:00:00 AM,Bus Passengers,472417,208514
US-Canada Border,07/01/1996 12:00:00 AM,Trucks,438413,495184
US-Mexico Border,07/01/1996 12:00:00 AM,Trucks,269974,524607
US-Mexico Border,07/01/1996 12:00:00 AM,Bus Passengers,149136,154418
US-Mexico Border,07/01/1996 12:00:00 AM,Truck Containers Full,141683,384912
US-Mexico Border,07/01/1996 12:00:00 AM,Truck Containers Empty,125939,141417
US-Canada Border,07/01/1996 12:00:00 AM,Pedestrians,120515,61771
US-Canada Border,07/01/1996 12:00:00 AM,Truck Containers Full,105277,369815
US-Canada Border,07/01/1996 12:00:00 AM,Train Passengers,29658,42816
US-Canada Border,07/01/1996 12:00:00 AM,Rail Containers Full,24315,145896
US-Canada Border,07/01/1996 12:00:00 AM,Buses,19854,9462
US-Canada Border,07/01/1996 12:00:00 AM,Truck Containers Empty,17124,133532
US-Mexico Border,07/01/1996 12:00:00 AM,Buses,10860,13850
US-Canada Border,07/01/1996 12:00:00 AM,Rail Containers Empty,10327,62524
US-Mexico Border,07/01/1996 12:00:00 AM,Rail Containers Empty,6702,47580
US-Mexico Border,07/01/1996 12:00:00 AM,Rail Containers Full,6365,44544
US-Canada Border,07/01/1996 12:00:00 AM,Trains,2599,2110
US-Mexico Border,07/01/1996 12:00:00 AM,Train Passengers,659,922
US-Mexico Border,07/01/1996 12:00:00 AM,Trains,545,949
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11590003,11628919
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6124800,6259112
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5407844,4801346
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3931845,3401371
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2832881,2570993
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,533555,515659
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,485867,504501
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399640,370183
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366753,372877
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202261,214768
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176567,132270
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153206,138587
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,139565,143269
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,129434,137630
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66714,56828
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62544,62503
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,49346,45813
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,45091,43998
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44094,41538
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12979,14722
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8975,9950
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2162,2058
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,964,934
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,851,994
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,11901838,11356000
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,6365057,6153168
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,4905379,4697314
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,3558082,3244660
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2561045,2580941
US-Mexico Border,06/01/2018 12:00:00 AM,Trucks,529177,502141
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,498422,510580
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,387382,352984
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,364267,381487
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,211997,217540
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,147832,129342
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,144777,130484
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,139354,147184
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,98510,166029
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,64970,60036
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,62091,51564
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,50368,41258
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,44312,43683
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,43571,39506
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,14249,15194
US-Canada Border,06/01/2018 12:00:00 AM,Buses,9287,10612
US-Canada Border,06/01/2018 12:00:00 AM,Trains,1981,2135
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,964,904
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,897,1092
US-Mexico Border,06/01/2017 12:00:00 AM,Personal Vehicle Passengers,11731813,10980186
US-Mexico Border,06/01/2017 12:00:00 AM,Personal Vehicles,6320366,5985970
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicle Passengers,4487700,4906928
US-Mexico Border,06/01/2017 12:00:00 AM,Pedestrians,3255587,3233734
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicles,2472936,2688946
US-Mexico Border,06/01/2017 12:00:00 AM,Trucks,527022,477260
US-Canada Border,06/01/2017 12:00:00 AM,Trucks,512687,508474
US-Mexico Border,06/01/2017 12:00:00 AM,Truck Containers Full,369940,336027
US-Canada Border,06/01/2017 12:00:00 AM,Truck Containers Full,369320,393654
US-Canada Border,06/01/2017 12:00:00 AM,Bus Passengers,211001,224079
US-Mexico Border,06/01/2017 12:00:00 AM,Truck Containers Empty,156613,137754
US-Canada Border,06/01/2017 12:00:00 AM,Truck Containers Empty,154521,106446
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Full,137611,121072
US-Mexico Border,06/01/2017 12:00:00 AM,Bus Passengers,132685,199373
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Empty,65420,54652
US-Canada Border,06/01/2017 12:00:00 AM,Pedestrians,51719,51409
US-Mexico Border,06/01/2017 12:00:00 AM,Rail Containers Empty,46129,36386
US-Mexico Border,06/01/2017 12:00:00 AM,Rail Containers Full,45191,42175
US-Canada Border,06/01/2017 12:00:00 AM,Train Passengers,40134,38877
US-Mexico Border,06/01/2017 12:00:00 AM,Buses,14379,16010
US-Canada Border,06/01/2017 12:00:00 AM,Buses,10443,10781
US-Canada Border,06/01/2017 12:00:00 AM,Trains,1871,2399
US-Mexico Border,06/01/2017 12:00:00 AM,Trains,975,834
US-Mexico Border,06/01/2017 12:00:00 AM,Train Passengers,909,1275
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,11315489,10644884
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicles,6158935,5813006
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,4582280,5231577
US-Mexico Border,06/01/2016 12:00:00 AM,Pedestrians,3264963,3202504
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicles,2542448,2835444
US-Canada Border,06/01/2016 12:00:00 AM,Trucks,517164,499783
US-Mexico Border,06/01/2016 12:00:00 AM,Trucks,496423,458096
US-Canada Border,06/01/2016 12:00:00 AM,Truck Containers Full,394620,392688
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Full,352449,319605
US-Canada Border,06/01/2016 12:00:00 AM,Bus Passengers,218490,229668
US-Mexico Border,06/01/2016 12:00:00 AM,Bus Passengers,182129,216617
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Empty,142749,132760
US-Canada Border,06/01/2016 12:00:00 AM,Rail Containers Full,116621,125524
US-Canada Border,06/01/2016 12:00:00 AM,Truck Containers Empty,98837,114056
US-Canada Border,06/01/2016 12:00:00 AM,Pedestrians,53150,49668
US-Canada Border,06/01/2016 12:00:00 AM,Rail Containers Empty,48600,60703
US-Mexico Border,06/01/2016 12:00:00 AM,Rail Containers Full,43394,40956
US-Canada Border,06/01/2016 12:00:00 AM,Train Passengers,39270,38484
US-Mexico Border,06/01/2016 12:00:00 AM,Rail Containers Empty,37247,35526
US-Mexico Border,06/01/2016 12:00:00 AM,Buses,14703,17318
US-Canada Border,06/01/2016 12:00:00 AM,Buses,10339,11223
US-Canada Border,06/01/2016 12:00:00 AM,Trains,2332,2466
US-Mexico Border,06/01/2016 12:00:00 AM,Train Passengers,1706,844
US-Mexico Border,06/01/2016 12:00:00 AM,Trains,851,816
US-Mexico Border,06/01/2015 12:00:00 AM,Personal Vehicle Passengers,11190705,10099062
US-Mexico Border,06/01/2015 12:00:00 AM,Personal Vehicles,6133763,5492248
US-Canada Border,06/01/2015 12:00:00 AM,Personal Vehicle Passengers,4937039,5526115
US-Mexico Border,06/01/2015 12:00:00 AM,Pedestrians,3207279,3197729
US-Canada Border,06/01/2015 12:00:00 AM,Personal Vehicles,2698249,2972640
US-Canada Border,06/01/2015 12:00:00 AM,Trucks,508300,491266
US-Mexico Border,06/01/2015 12:00:00 AM,Trucks,481539,434652
US-Canada Border,06/01/2015 12:00:00 AM,Truck Containers Full,426184,359192
US-Mexico Border,06/01/2015 12:00:00 AM,Truck Containers Full,338842,300368
US-Canada Border,06/01/2015 12:00:00 AM,Bus Passengers,218086,241250
US-Mexico Border,06/01/2015 12:00:00 AM,Bus Passengers,212484,220750
US-Mexico Border,06/01/2015 12:00:00 AM,Truck Containers Empty,138490,127031
US-Canada Border,06/01/2015 12:00:00 AM,Rail Containers Full,127757,123290
US-Canada Border,06/01/2015 12:00:00 AM,Truck Containers Empty,110494,117618
US-Canada Border,06/01/2015 12:00:00 AM,Rail Containers Empty,58362,63044
US-Canada Border,06/01/2015 12:00:00 AM,Pedestrians,52145,47190
US-Mexico Border,06/01/2015 12:00:00 AM,Rail Containers Full,42379,39534
US-Canada Border,06/01/2015 12:00:00 AM,Train Passengers,38675,38293
US-Mexico Border,06/01/2015 12:00:00 AM,Rail Containers Empty,36687,34364
US-Mexico Border,06/01/2015 12:00:00 AM,Buses,17069,17566
US-Canada Border,06/01/2015 12:00:00 AM,Buses,10773,11673
US-Canada Border,06/01/2015 12:00:00 AM,Trains,2537,2396
US-Mexico Border,06/01/2015 12:00:00 AM,Train Passengers,1004,684
US-Mexico Border,06/01/2015 12:00:00 AM,Trains,842,790
US-Mexico Border,06/01/2014 12:00:00 AM,Personal Vehicle Passengers,10310771,9887354
US-Mexico Border,06/01/2014 12:00:00 AM,Personal Vehicles,5646577,5337918
US-Canada Border,06/01/2014 12:00:00 AM,Personal Vehicle Passengers,5549046,5503184
US-Mexico Border,06/01/2014 12:00:00 AM,Pedestrians,3213764,3181694
US-Canada Border,06/01/2014 12:00:00 AM,Personal Vehicles,3016053,2929226
US-Canada Border,06/01/2014 12:00:00 AM,Trucks,502196,480337
US-Mexico Border,06/01/2014 12:00:00 AM,Trucks,446531,422774
US-Canada Border,06/01/2014 12:00:00 AM,Truck Containers Full,372266,346118
US-Mexico Border,06/01/2014 12:00:00 AM,Truck Containers Full,316509,284228
US-Canada Border,06/01/2014 12:00:00 AM,Bus Passengers,232846,249654
US-Mexico Border,06/01/2014 12:00:00 AM,Bus Passengers,220363,221138
US-Canada Border,06/01/2014 12:00:00 AM,Rail Containers Full,130092,116488
US-Mexico Border,06/01/2014 12:00:00 AM,Truck Containers Empty,127727,126335
US-Canada Border,06/01/2014 12:00:00 AM,Truck Containers Empty,121650,113587
US-Canada Border,06/01/2014 12:00:00 AM,Rail Containers Empty,66201,59886
US-Canada Border,06/01/2014 12:00:00 AM,Pedestrians,47554,46825
US-Mexico Border,06/01/2014 12:00:00 AM,Rail Containers Full,42591,36478
US-Canada Border,06/01/2014 12:00:00 AM,Train Passengers,40274,36312
US-Mexico Border,06/01/2014 12:00:00 AM,Rail Containers Empty,37213,31514
US-Mexico Border,06/01/2014 12:00:00 AM,Buses,17433,17698
US-Canada Border,06/01/2014 12:00:00 AM,Buses,11481,11865
US-Canada Border,06/01/2014 12:00:00 AM,Trains,2440,2352
US-Mexico Border,06/01/2014 12:00:00 AM,Train Passengers,997,370
US-Mexico Border,06/01/2014 12:00:00 AM,Trains,844,737
US-Mexico Border,06/01/2013 12:00:00 AM,Personal Vehicle Passengers,10083221,9691488
US-Canada Border,06/01/2013 12:00:00 AM,Personal Vehicle Passengers,5691883,5314486
US-Mexico Border,06/01/2013 12:00:00 AM,Personal Vehicles,5450094,5225741
US-Mexico Border,06/01/2013 12:00:00 AM,Pedestrians,3137218,3226170
US-Canada Border,06/01/2013 12:00:00 AM,Personal Vehicles,3021572,2836880
US-Canada Border,06/01/2013 12:00:00 AM,Trucks,476738,483936
US-Mexico Border,06/01/2013 12:00:00 AM,Trucks,422524,423024
US-Canada Border,06/01/2013 12:00:00 AM,Truck Containers Full,332533,359702
US-Mexico Border,06/01/2013 12:00:00 AM,Truck Containers Full,283746,284710
US-Canada Border,06/01/2013 12:00:00 AM,Bus Passengers,241095,258214
US-Mexico Border,06/01/2013 12:00:00 AM,Bus Passengers,221979,220298
US-Canada Border,06/01/2013 12:00:00 AM,Rail Containers Full,123443,109533
US-Canada Border,06/01/2013 12:00:00 AM,Truck Containers Empty,120160,107014
US-Mexico Border,06/01/2013 12:00:00 AM,Truck Containers Empty,117822,134848
US-Canada Border,06/01/2013 12:00:00 AM,Rail Containers Empty,64689,55084
US-Canada Border,06/01/2013 12:00:00 AM,Pedestrians,50744,42906
US-Mexico Border,06/01/2013 12:00:00 AM,Rail Containers Full,40135,32822
US-Canada Border,06/01/2013 12:00:00 AM,Train Passengers,38573,34050
US-Mexico Border,06/01/2013 12:00:00 AM,Rail Containers Empty,30033,32994
US-Mexico Border,06/01/2013 12:00:00 AM,Buses,17491,17906
US-Canada Border,06/01/2013 12:00:00 AM,Buses,11656,12074
US-Canada Border,06/01/2013 12:00:00 AM,Trains,2401,2302
US-Mexico Border,06/01/2013 12:00:00 AM,Trains,759,715
US-Mexico Border,06/01/2013 12:00:00 AM,Train Passengers,352,388
US-Mexico Border,06/01/2012 12:00:00 AM,Personal Vehicle Passengers,9166429,10216546
US-Canada Border,06/01/2012 12:00:00 AM,Personal Vehicle Passengers,5585380,5043592
US-Mexico Border,06/01/2012 12:00:00 AM,Personal Vehicles,5027232,5424250
US-Mexico Border,06/01/2012 12:00:00 AM,Pedestrians,3194593,3257746
US-Canada Border,06/01/2012 12:00:00 AM,Personal Vehicles,3007378,2666382
US-Canada Border,06/01/2012 12:00:00 AM,Trucks,481397,486474
US-Mexico Border,06/01/2012 12:00:00 AM,Trucks,430283,415766
US-Canada Border,06/01/2012 12:00:00 AM,Truck Containers Full,347573,371830
US-Mexico Border,06/01/2012 12:00:00 AM,Truck Containers Full,292163,277258
US-Canada Border,06/01/2012 12:00:00 AM,Bus Passengers,260624,255803
US-Mexico Border,06/01/2012 12:00:00 AM,Bus Passengers,228291,212306
US-Mexico Border,06/01/2012 12:00:00 AM,Truck Containers Empty,134687,135010
US-Canada Border,06/01/2012 12:00:00 AM,Rail Containers Full,121490,97576
US-Canada Border,06/01/2012 12:00:00 AM,Truck Containers Empty,115472,98556
US-Canada Border,06/01/2012 12:00:00 AM,Rail Containers Empty,61713,48456
US-Canada Border,06/01/2012 12:00:00 AM,Pedestrians,45985,39828
US-Mexico Border,06/01/2012 12:00:00 AM,Rail Containers Full,36304,29340
US-Canada Border,06/01/2012 12:00:00 AM,Train Passengers,34285,33816
US-Mexico Border,06/01/2012 12:00:00 AM,Rail Containers Empty,33442,32547
US-Mexico Border,06/01/2012 12:00:00 AM,Buses,17874,17938
US-Canada Border,06/01/2012 12:00:00 AM,Buses,12065,12084
US-Canada Border,06/01/2012 12:00:00 AM,Trains,2379,2226
US-Mexico Border,06/01/2012 12:00:00 AM,Trains,742,688
US-Mexico Border,06/01/2012 12:00:00 AM,Train Passengers,295,482
US-Mexico Border,06/01/2011 12:00:00 AM,Personal Vehicle Passengers,8936943,11496149
US-Canada Border,06/01/2011 12:00:00 AM,Personal Vehicle Passengers,5169270,4917914
US-Mexico Border,06/01/2011 12:00:00 AM,Personal Vehicles,5087815,5760684
